"filename", "language", "JavaScript", "Vue", "Markdown", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\lhk960705\scoreIndex\src\excel\Export2Excel.js", "JavaScript", 105, 0, 0, 0, 0, 0, 11, 25, 141
"c:\Users\lhk960705\scoreIndex\src\main.js", "JavaScript", 14, 0, 0, 0, 0, 0, 6, 2, 22
"c:\Users\lhk960705\scoreIndex\src\router\index.js", "JavaScript", 133, 0, 0, 0, 0, 0, 6, 6, 145
"c:\Users\lhk960705\scoreIndex\src\store\module\group.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\lhk960705\scoreIndex\src\store\module\sysperson.js", "JavaScript", 59, 0, 0, 0, 0, 0, 2, 0, 61
"c:\Users\lhk960705\scoreIndex\src\store\module\system.js", "JavaScript", 58, 0, 0, 0, 0, 0, 6, 0, 64
"c:\Users\lhk960705\scoreIndex\src\store\module\testperson.js", "JavaScript", 35, 0, 0, 0, 0, 0, 1, 0, 36
"c:\Users\lhk960705\scoreIndex\src\store\module\total.js", "JavaScript", 27, 0, 0, 0, 0, 0, 1, 1, 29
"c:\Users\lhk960705\scoreIndex\src\store\module\user.js", "JavaScript", 121, 0, 0, 0, 0, 0, 13, 3, 137
"c:\Users\lhk960705\scoreIndex\src\store\overall\dept.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\lhk960705\scoreIndex\src\store\overall\group.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\lhk960705\scoreIndex\src\store\score\date.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\lhk960705\scoreIndex\src\store\showin\finishVer.js", "JavaScript", 33, 0, 0, 0, 0, 0, 89, 5, 127
"c:\Users\lhk960705\scoreIndex\src\store\showin\ingVer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 35, 1, 51
"c:\Users\lhk960705\scoreIndex\src\store\showin\lastPeriod.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\lhk960705\scoreIndex\src\store\showin\warnvers.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\lhk960705\scoreIndex\src\store\store.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"Total", "-", 1391, 8609, 14, 11967, 19, 443, 1350, 631, 24424
